Containment_zones,ward,no,pin,address
"A 1 400001 M.R.A. Police Quarters,M.R.A. Road,,Fort",A,1,400001,"M.R.A. Police Quarters,M.R.A. Road,,Fort"
"A 2 400001 M.R.A. Bmc Colony,M.R.A. Road,,Fort",A,2,400001,"M.R.A. Bmc Colony,M.R.A. Road,,Fort"
"A 3 400001 Ramgad Vasahat Zopadpatti,P D'Mello Road,Near St George Hospital,Fort",A,3,400001,"Ramgad Vasahat Zopadpatti,P D'Mello Road,Near St George Hospital,Fort"
"A 4 400001 Servant Quarters, Cama Hospital,Mahapalika Marg,,Fort",A,4,400001,"Servant Quarters, Cama Hospital,Mahapalika Marg,,Fort"
"A 5 400005 Sunder Nagari,Azad Nagari, Darya Nagar,Lala Nigam Road, Near Colaba Market,Sunder Nagar,Colaba",A,5,400005,"Sunder Nagari,Azad Nagari, Darya Nagar,Lala Nigam Road, Near Colaba Market,Sunder Nagar,Colaba"
"A 6 400005 Machchimar Nagar,Capt. Prakash Pethe Marg,,Colaba",A,6,400005,"Machchimar Nagar,Capt. Prakash Pethe Marg,,Colaba"
"A 7 400005 Ganeshmurti Nagar Part No.1,2,3,Captain Prakash Pethe Marg,Ganeshmurthi Nagar,Colaba",A,7,400005,"Ganeshmurti Nagar Part No.1,2,3,Captain Prakash Pethe Marg,Ganeshmurthi Nagar,Colaba"
"A 8 400005 Shivshakti Nagar, Garib Janata Nagar, Mahatma Phule Nagar,Capt. Prakash Pethe Marg,,Colaba",A,8,400005,"Shivshakti Nagar, Garib Janata Nagar, Mahatma Phule Nagar,Capt. Prakash Pethe Marg,,Colaba"
"A 9 400005 Ambedkar Nagar,Capt. Prakash Pethe Marg,,Colaba",A,9,400005,"Ambedkar Nagar,Capt. Prakash Pethe Marg,,Colaba"
"A 10 400005 Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba",A,10,400005,"Geeta Nagar,Dr Homi Bhabha Road,Near Navy Nagar,Colaba"
"A 11 400005 Meherzin Building,Sbs Road,,Colaba",A,11,400005,"Meherzin Building,Sbs Road,,Colaba"
"A 12 400005 A-Kantak House,Nouroji Road, First Koli Lane,Colaba Market,Colaba",A,12,400005,"A-Kantak House,Nouroji Road, First Koli Lane,Colaba Market,Colaba"
"B 13 400003 Cement Chawl No. 1,Madhavrao Rokade Road,Masjid Bunder Railway Station,Mandvi",B,13,400003,"Cement Chawl No. 1,Madhavrao Rokade Road,Masjid Bunder Railway Station,Mandvi"
"B 14 400003 Cement Chawl No. 2,Madhavrao Rokade Marg,Chinchbunder,Mandvi",B,14,400003,"Cement Chawl No. 2,Madhavrao Rokade Marg,Chinchbunder,Mandvi"
"B 15 400003 Hutment,Baroda Street,Opp. Gokul Building,Masjid Bunder",B,15,400003,"Hutment,Baroda Street,Opp. Gokul Building,Masjid Bunder"
"B 16 400003 Patra Chawl,Tambaku Galli,Near Mbpt Quarters,Masjid Bunder",B,16,400003,"Patra Chawl,Tambaku Galli,Near Mbpt Quarters,Masjid Bunder"
"B 17 400003 Zopada No. 64,Janjikar Street,Opp. Mohd House,Mandvi Koliwada",B,17,400003,"Zopada No. 64,Janjikar Street,Opp. Mohd House,Mandvi Koliwada"
"B 18 400003 Hutment,Poona Street,Near Dosi Chamber,Masjid Bunder",B,18,400003,"Hutment,Poona Street,Near Dosi Chamber,Masjid Bunder"
"B 19 400009 Chinchbunder Bit Chawl No. 3,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri",B,19,400009,"Chinchbunder Bit Chawl No. 3,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri"
"B 20 400009 Hutment,Kurla Street,Danabunder,Masjid Bunder",B,20,400009,"Hutment,Kurla Street,Danabunder,Masjid Bunder"
"B 21 400009 Chinchbunder Bit Chawl No. 4,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri",B,21,400009,"Chinchbunder Bit Chawl No. 4,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri"
"B 22 400009 Haji Kasam Chawl,Noorbaug,Umerkhadi,Dongri",B,22,400009,"Haji Kasam Chawl,Noorbaug,Umerkhadi,Dongri"
"B 23 400009 Moti Chawl,Mohammed Ali Road,,Masjid",B,23,400009,"Moti Chawl,Mohammed Ali Road,,Masjid"
"B 24 400009 Chinchbunder Bit Chawl No. 6,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri",B,24,400009,"Chinchbunder Bit Chawl No. 6,Dr. Meisheri Road,Sandhurst Road Railway Station,Dongri"
"B 25 400009 Hutment,Sardar Vallabhbhai Patel Road,Sandhurst Road,Wadibunder",B,25,400009,"Hutment,Sardar Vallabhbhai Patel Road,Sandhurst Road,Wadibunder"
"B 26 400009 Sydenham Bit Chawl No. 1,Ebrahim Rahimtula Road,Behind Hp Petrol Pump,Dongri",B,26,400009,"Sydenham Bit Chawl No. 1,Ebrahim Rahimtula Road,Behind Hp Petrol Pump,Dongri"
"B 27 400009 Lalji Sajan Chawl,Laxman Narayan Jadhav Marg,Opp. Asha Sadan,Dongri",B,27,400009,"Lalji Sajan Chawl,Laxman Narayan Jadhav Marg,Opp. Asha Sadan,Dongri"
"B 28 400009 Kashibai Chawl,Dr. Meisheri Road,Near Dongri Police Station,Dongri",B,28,400009,"Kashibai Chawl,Dr. Meisheri Road,Near Dongri Police Station,Dongri"
"B 29 400009 Bmc Chawl,Mavji Rathod Road,Walpakhadi,Dongri",B,29,400009,"Bmc Chawl,Mavji Rathod Road,Walpakhadi,Dongri"
"C 30 400002 (3 Chawls In Zaveri Bazar Area),,,Zaveri Bazar",C,30,400002,"(3 Chawls In Zaveri Bazar Area),,,Zaveri Bazar"
"C 31 400003 Keshav Nursing Building, Bori Chwal,Shriji Bhavan,Madan House,Pancholi House,Subhadra Bldg,Jadhavji Kara Co-Operative Hsg Scty,Mahadev Shankar,Shivkrupa",C,31,400003,"Keshav Nursing Building, Bori Chwal,Shriji Bhavan,Madan House,Pancholi House,Subhadra Bldg,Jadhavji Kara Co-Operative Hsg Scty,Mahadev Shankar,Shivkrupa"
"C 32 400003 5Th Floor, Vivek Building,Bori Chawl,Dhanji Mulji Bldg,Kansar Chawl,B Wing Al Sadan Tower,Mukund Bhavan, Jarmal Anex Bldg,Solanki Niwas,Rele Chawl,,Ganesh",C,32,400003,"5Th Floor, Vivek Building,Bori Chawl,Dhanji Mulji Bldg,Kansar Chawl,B Wing Al Sadan Tower,Mukund Bhavan, Jarmal Anex Bldg,Solanki Niwas,Rele Chawl,,Ganesh"
"C 33 400003 Sighriya Bldg,Karnataka Mahal,Radha Bldg,Dama Bldg (7 Chawls In Thakurdwar Area),Ganesh Baug,,Thakurdwar",C,33,400003,"Sighriya Bldg,Karnataka Mahal,Radha Bldg,Dama Bldg (7 Chawls In Thakurdwar Area),Ganesh Baug,,Thakurdwar"
"C 34 400003 Arjun Niwas(4 Chawl In 4Th Kumbharwada Area),,,4Th Kumbharwada",C,34,400003,"Arjun Niwas(4 Chawl In 4Th Kumbharwada Area),,,4Th Kumbharwada"
"C 35 400003 Rangwala Bldg,Ahmedi Bldg, Bori House, Kharwa Bldg, Manimahal Bldg,Ahmadi Bldg, Kachi House,Balkrishna Niwas,Gokarana Mansion,Farida House,Mulji Thakkar,New",C,35,400003,"Rangwala Bldg,Ahmedi Bldg, Bori House, Kharwa Bldg, Manimahal Bldg,Ahmadi Bldg, Kachi House,Balkrishna Niwas,Gokarana Mansion,Farida House,Mulji Thakkar,New"
"C 36 400003 Jai Hind Estate,Anuj Bhavan,Panchayatwadi Bldg,Saraswari Niwas, Kalyan Bldg, Lal Mani Bldg,Mukhara Chawl,Kakoli House, Davji Bldg,Anantwadi (15 Chawls In",C,36,400003,"Jai Hind Estate,Anuj Bhavan,Panchayatwadi Bldg,Saraswari Niwas, Kalyan Bldg, Lal Mani Bldg,Mukhara Chawl,Kakoli House, Davji Bldg,Anantwadi (15 Chawls In"
"C 37 400003 Haji Kasam Bldg, Vishwavera Bldg, Tayyabi Bldg, Laxmi Bldg, Kesurwala Bldg,Yashmangal Bldg,Navsari Bldg,Kapibai Bldg,Dongare Bldg,Saroj Niwas(14 Chawls In 2Nd",C,37,400003,"Haji Kasam Bldg, Vishwavera Bldg, Tayyabi Bldg, Laxmi Bldg, Kesurwala Bldg,Yashmangal Bldg,Navsari Bldg,Kapibai Bldg,Dongare Bldg,Saroj Niwas(14 Chawls In 2Nd"
"C 38 400003 Chandramahal,Nagu Kamathi Chawl,Manaji Bldg,Jamnabai Bldg,Masjid Building,Lokhandwala Bldg,Kokalekar Building,Pashpasadan Bldg,Datt Niwas,Todkari House,Nausari",C,38,400003,"Chandramahal,Nagu Kamathi Chawl,Manaji Bldg,Jamnabai Bldg,Masjid Building,Lokhandwala Bldg,Kokalekar Building,Pashpasadan Bldg,Datt Niwas,Todkari House,Nausari"
"C 39 400003 Gardi Bldg,Haji Bldg(3 Chawls In Bhendi Bazar Area),,,Bhendi Bazar",C,39,400003,"Gardi Bldg,Haji Bldg(3 Chawls In Bhendi Bazar Area),,,Bhendi Bazar"
"D 40 400004 Mali Bhawan,Alaknanda Bldg, Balaram Niwas, 6Th Krantiveer,8Th Khet Lane,Khetwadi,Khetwadi",D,40,400004,"Mali Bhawan,Alaknanda Bldg, Balaram Niwas, 6Th Krantiveer,8Th Khet Lane,Khetwadi,Khetwadi"
"D 41 400004 2/A Poonawala Bldg,Jss Road,Kelewadi,Girgaon",D,41,400004,"2/A Poonawala Bldg,Jss Road,Kelewadi,Girgaon"
"D 42 400004 Narayan Wadi,Khadilkar Road,Cp Tank,Girgaon",D,42,400004,"Narayan Wadi,Khadilkar Road,Cp Tank,Girgaon"
"D 43 400004 Parekhwadi,Urankarwadi,,Nr. Nawakal Press",D,43,400004,"Parekhwadi,Urankarwadi,,Nr. Nawakal Press"
"D 44 400006 Darya Sagar Zopadapatti,Bd Road,,Mahalakshmi",D,44,400006,"Darya Sagar Zopadapatti,Bd Road,,Mahalakshmi"
"D 45 400006 Khatav Chawl,,,Manav Mandir Rd,Mumbai",D,45,400006,"Khatav Chawl,,,Manav Mandir Rd,Mumbai"
"D 46 400008 Bit Chawl No 16/15/15,Belasis Road,,Mumbai Central",D,46,400008,"Bit Chawl No 16/15/15,Belasis Road,,Mumbai Central"
"D 47 400008 Navjug Niwas,Lamington Road,Opp Minera Cinema,Mumbai",D,47,400008,"Navjug Niwas,Lamington Road,Opp Minera Cinema,Mumbai Shimla Nagar Zopadapatti,Nepeansea Road,,Nepeansea Road"
"E 49 400008 Haji Kasam Chawl,Siddharth Nagar,Tambuwadi Chawl,Bbabu Kapadia Chawl,Shanak Pupala Marg,Duncan Road,Khandia Street,Byculla,Nagpada",E,49,400008,"Haji Kasam Chawl,Siddharth Nagar,Tambuwadi Chawl,Bbabu Kapadia Chawl,Shanak Pupala Marg,Duncan Road,Khandia Street,Byculla,Nagpada"
"E 50 400008 Bit Chawl No.2, Kasam Hati Chawl,Chandramani Buddha Vihar,New Lambi Chawl,Vidyut Locoshed,Bmc Chawl, Suchak Building,1St,9Th,4Thand 7Th",E,50,400008,"Bit Chawl No.2, Kasam Hati Chawl,Chandramani Buddha Vihar,New Lambi Chawl,Vidyut Locoshed,Bmc Chawl, Suchak Building,1St,9Th,4Thand 7Th"
"E 51 400008 Bit Chawl No.2 &3,Wadi Bunder,Love Lane,Jm Rathod Marg,Mazgaon,Byculla",E,51,400008,"Bit Chawl No.2 &3,Wadi Bunder,Love Lane,Jm Rathod Marg,Mazgaon,Byculla"
"E 52 400008 Nayee Chawl,Aksa Manzil,Noorani Chawl,Adam Siddhiqui Chawl,Chasma Vali Chawl,Mestry Ki Chawl,3Rd Gelabai Lane,Ma Road, Sakali Street,Ghosht Bajar,Badlu Rangari",E,52,400008,"Nayee Chawl,Aksa Manzil,Noorani Chawl,Adam Siddhiqui Chawl,Chasma Vali Chawl,Mestry Ki Chawl,3Rd Gelabai Lane,Ma Road, Sakali Street,Ghosht Bajar,Badlu Rangari"
"E 53 400010 Tulsiwadi Chawl,Kawla Bunder Darukhana, Dr Sanjay Dalvi Clinic,Abu Bukar Chawl Shanti Nagar,Sunni Kabrastan,Lakdi Bunder,Kasara Bunder,Bori Chawl,Amina",E,53,400010,"Tulsiwadi Chawl,Kawla Bunder Darukhana, Dr Sanjay Dalvi Clinic,Abu Bukar Chawl Shanti Nagar,Sunni Kabrastan,Lakdi Bunder,Kasara Bunder,Bori Chawl,Amina"
"E 54 400010 Bit Chawl,St. Merry Road,Bit Chawl,Mazgaon",E,54,400010,"Bit Chawl,St. Merry Road,Bit Chawl,Mazgaon"
"E 55 400011 Transit Camp, Suryaji Compound,Patra Chawl,Bmc Chawl Milind Nagar,Tank Pakadi Road,Transit Camp, Lucky Compound, Khatau Mill, Opp. Shamim Palace,Mominpura",E,55,400011,"Transit Camp, Suryaji Compound,Patra Chawl,Bmc Chawl Milind Nagar,Tank Pakadi Road,Transit Camp, Lucky Compound, Khatau Mill, Opp. Shamim Palace,Mominpura"
"E 56 400011 Bit Chawl,Kikabai Chawl,Mg Marg,Rb Chandorkar Marg,Bit Chawl,Agripada",E,56,400011,"Bit Chawl,Kikabai Chawl,Mg Marg,Rb Chandorkar Marg,Bit Chawl,Agripada"
"E 57 400011 Lambi Cement Chawl,Bit Talwadi Chawl,Bj Marg, Saint Merry Road,Kamathipura,Byculla",E,57,400011,"Lambi Cement Chawl,Bit Talwadi Chawl,Bj Marg, Saint Merry Road,Kamathipura,Byculla"
"E 58 400011 Hawabai Chawl,Pansare Chawl,Pani Kahte Chawl 564,Vasudev Vinayak Chawl",E,58,400011,"Hawabai Chawl,Pansare Chawl,Pani Kahte Chawl 564,Vasudev Vinayak Chawl"
"E 59 400011 56J Rasuljiva Compound,Modern Mill Zopdi,Kk Road 7Th Rasta, Sane Guruji Marg,Jacob Circle,Byculla",E,59,400011,"56J Rasuljiva Compound,Modern Mill Zopdi,Kk Road 7Th Rasta, Sane Guruji Marg,Jacob Circle,Byculla Kahte Chawl 564,Vasudev Vinayak Chawl"
E 60 400012,E,60,400012,"Marg,Arthur Road Naka,Chinchpokli"
"E 61 400027 Ram Nagar, Nasmi House,Dr. Ba Road,6Th Chamber Lane,Byculla,Byculla",E,61,400027,"Ram Nagar, Nasmi House,Dr. Ba Road,6Th Chamber Lane,Byculla,Byculla"
"E 62 400027 New Irani Chawl,Shinde Chawl,Abdul Rauf Manzil,Desai Chawl,R.B. Marg,Kapreshwar Mandir,Byculla",E,62,400027,"New Irani Chawl,Shinde Chawl,Abdul Rauf Manzil,Desai Chawl,R.B. Marg,Kapreshwar Mandir,Byculla"
"E 63 400027 Khan Building,Warden Chawl,Haji Allana Compound,S S Marg,Mustafa Bazar,Byculla",E,63,400027,"Khan Building,Warden Chawl,Haji Allana Compound,S S Marg,Mustafa Bazar,Byculla"
"E 64 400033 Sanas Patra Shed,Dr. B. A. Road,Kalachowky,Kalachowky",E,64,400033,"Sanas Patra Shed,Dr. B. A. Road,Kalachowky,Kalachowky"
"E 65 400033 Kandi Karkhana,Abhinandan Nivas No.4,R B Marg,Ghodapdeo,Ghodapdeo",E,65,400033,"Kandi Karkhana,Abhinandan Nivas No.4,R B Marg,Ghodapdeo,Ghodapdeo"
"FN 66 400022 ,Panchashil,Sion",FN,66,400022,",Panchashil,Sion"
"FN 67 400022 ,Punjabi Colony,Gtb Nagar,Sion",FN,67,400022,",Punjabi Colony,Gtb Nagar,Sion"
"FN 68 400022 ,Sanjay Gandhi Nagar,Sion",FN,68,400022,",Sanjay Gandhi Nagar,Sion"
"FN 69 400022 ,Santoshi Mata Nagar,Sion",FN,69,400022,",Santoshi Mata Nagar,Sion"
"FN 70 400022 ,Sunder Kamla Nagar,Sion",FN,70,400022,",Sunder Kamla Nagar,Sion"
"FN 71 400022 ,Shastri Nagar,Pratiksha Nagar",FN,71,400022,",Shastri Nagar,Pratiksha Nagar"
"FN 72 400031 ,Wadala Village,Wadala West",FN,72,400031,",Wadala Village,Wadala West"
"FN 73 400037 ,Acharya Atre Nagar,Antop Hill Wadala",FN,73,400037,",Acharya Atre Nagar,Antop Hill Wadala"
"FN 74 400037 ,Agrawal Wadi,Antop Hill Wadala",FN,74,400037,",Agrawal Wadi,Antop Hill Wadala"
"FN 75 400037 Salt Pan Road,Bhaiyyasaheb Nagar,Wadala East",FN,75,400037,"Salt Pan Road,Bhaiyyasaheb Nagar,Wadala East"
"FN 76 400037 ,Bhartiya Kamla Nagar,Antop Hill Wadala",FN,76,400037,",Bhartiya Kamla Nagar,Antop Hill Wadala"
"FN 77 400037 ,Bpt Gate No 4,Wadala East",FN,77,400037,",Bpt Gate No 4,Wadala East"
"FN 78 400037 ,Indira Nagar,Sion Koliwada",FN,78,400037,",Indira Nagar,Sion Koliwada"
"FN 79 400037 ,Kismat Nagar,Antop Hill Wadala",FN,79,400037,",Kismat Nagar,Antop Hill Wadala"
"FN 80 400037 ,Kokri Agar,Antop Hill Wadala",FN,80,400037,",Kokri Agar,Antop Hill Wadala"
"FN 81 400037 ,Korba Mithagar,Wadala East",FN,81,400037,",Korba Mithagar,Wadala East"
"FN 82 400037 ,Madona Colony,Antop Hill Wadala",FN,82,400037,",Madona Colony,Antop Hill Wadala"
"FN 83 400037 ,Mahatma Gandhi Nagar,Antop Hill Wadala",FN,83,400037,",Mahatma Gandhi Nagar,Antop Hill Wadala"
"FN 84 400037 ,Mhada Building Chawl,Sion Koliwada",FN,84,400037,",Mhada Building Chawl,Sion Koliwada"
"FN 85 400037 ,Sangam Nagar,Antop Hill Wadala",FN,85,400037,",Sangam Nagar,Antop Hill Wadala"
"FN 86 400037 ,Sardar Nagar,Sion Koliwada",FN,86,400037,",Sardar Nagar,Sion Koliwada"
"FN 87 400037 ,Shanti Nagar,Antop Hill Wadala",FN,87,400037,",Shanti Nagar,Antop Hill Wadala Xavier Street, Bhoiwada,Shivlal Patra Chawl,Parel"
FS 88 400012,FS,88,400012,
"FS 89 400012 Kondhaji Chawl,V L Pednekar Marg,Kondhaji Chawl,Parel",FS,89,400012,"Kondhaji Chawl,V L Pednekar Marg,Kondhaji Chawl,Parel"
"FS 90 400012 Ramdoot Chawl,Sane Guruji Marg,Ramdoot Chawl,Chinchpokli",FS,90,400012,"Ramdoot Chawl,Sane Guruji Marg,Ramdoot Chawl,Chinchpokli"
"FS 91 400012 Vikrant Sadan,Sane Guruji Marg,Vikrant Sadan,Chinchpokli",FS,91,400012,"Vikrant Sadan,Sane Guruji Marg,Vikrant Sadan,Chinchpokli"
"FS 92 400012 Gurukrupa Chawl,E Borges Road,Gurukrupa Chawl,Parel",FS,92,400012,"Gurukrupa Chawl,E Borges Road,Gurukrupa Chawl,Parel"
"FS 93 400014 Transit Camp,Bhoiwada,Shankar Tanaji Ghadi Marg,Transit Camp,Bhoiwada,Bhoiwada",FS,93,400014,"Transit Camp,Bhoiwada,Shankar Tanaji Ghadi Marg,Transit Camp,Bhoiwada,Bhoiwada"
"FS 94 400014 Spring Mill,Gd Ambekar Marg,Spring Mill,Dadar",FS,94,400014,"Spring Mill,Gd Ambekar Marg,Spring Mill,Dadar"
"FS 95 400014 Vayangankar Chawl,S S Wagh Road,Vayangankar Chawl,Dadar",FS,95,400014,"Vayangankar Chawl,S S Wagh Road,Vayangankar Chawl,Dadar"
"FS 96 400014 Kohinoor Mill Chawl,M.J. Phule Road,Kohinoor Mill Chawl,Dadar",FS,96,400014,"Kohinoor Mill Chawl,M.J. Phule Road,Kohinoor Mill Chawl,Dadar"
"FS 97 400014 Naigaon Police Quarters,Naigaon Cross Road,Naigaon Police Quarters,Dadar",FS,97,400014,"Naigaon Police Quarters,Naigaon Cross Road,Naigaon Police Quarters,Dadar"
"FS 98 400014 Dulaba Prasad Chawl,S M Jadhav Marg,Dulaba Prasad Chawl,Dadar",FS,98,400014,"Dulaba Prasad Chawl,S M Jadhav Marg,Dulaba Prasad Chawl,Dadar"
"FS 99 400014 Ahmed Sellor Compound,B J Devrukhkar Road,Ahmed Sellor Compound,Dadar",FS,99,400014,"Ahmed Sellor Compound,B J Devrukhkar Road,Ahmed Sellor Compound,Dadar"
"FS 100 400014 Gautam Nagar,Dadasaheb Phalke Road,Gautam Nagar,Dadar",FS,100,400014,"Gautam Nagar,Dadasaheb Phalke Road,Gautam Nagar,Dadar"
"FS 101 400015 Prabudhnagar Slum,Jerbai Wadia Road,Prabudhnagar Slum,Sewree",FS,101,400015,"Prabudhnagar Slum,Jerbai Wadia Road,Prabudhnagar Slum,Sewree"
"FS 102 400015 Sewree Koliwada,Sewree Fort Road,Sewree Koliwada,Sewree",FS,102,400015,"Sewree Koliwada,Sewree Fort Road,Sewree Koliwada,Sewree"
"FS 103 400015 Krantinagar Chawl,T J Road,,Sewree",FS,103,400015,"Krantinagar Chawl,T J Road,,Sewree"
"FS 104 400015 Gopal Baug Slum,T J Road,Gopal Baug Slum,Sewree",FS,104,400015,"Gopal Baug Slum,T J Road,Gopal Baug Slum,Sewree"
"FS 105 400015 Ganesh Baug Slum,T J Road,Ganesh Baug Slum,Sewree",FS,105,400015,"Ganesh Baug Slum,T J Road,Ganesh Baug Slum,Sewree"
"FS 106 400015 A M Jetha Chawl,,",FS,106,400015,"A M Jetha Chawl,,"
"FS 107 400033 Sewree Cross Road Slum,Sewree Cross Road,Sewree Cross Road Slum,Sewree",FS,107,400033,"Sewree Cross Road Slum,Sewree Cross Road,Sewree Cross Road Slum,Sewree"
"GN 108 400017 Shakti Chawl, Nityanand Chawl,Khamba Devi, Madina Chawl, Sanjay Chawl, Dambar Copmound, Ganesh Rahiwasi Sangh,Khambadevi Road Veer Lahuji Ustad Chawl,Sion",GN,108,400017,"Shakti Chawl, Nityanand Chawl,Khamba Devi, Madina Chawl, Sanjay Chawl, Dambar Copmound, Ganesh Rahiwasi Sangh,Khambadevi Road Veer Lahuji Ustad Chawl,Sion"
"GN 109 400017 Kumbharwada, Suthar Chawl, Laxmi Chawl, Shahid Bhagat Shigh Nagar,Gangadhar Chawl, Shubhash Nagar, Valmiki Nagar,90 Feet Road,Kumbharwada,Dharavi",GN,109,400017,"Kumbharwada, Suthar Chawl, Laxmi Chawl, Shahid Bhagat Shigh Nagar,Gangadhar Chawl, Shubhash Nagar, Valmiki Nagar,90 Feet Road,Kumbharwada,Dharavi"
"GN 110 400017 Kuchikurve Nagar, Uday Building, Nabi Nagar, Indra Nagar, Kutti Wadi, Anna Nagar, Sheth Wadi, Muslim Nagar, Shammi Nagar, Akg Nagar, Nawab Nagar, Madina Nagar,60",GN,110,400017,"Kuchikurve Nagar, Uday Building, Nabi Nagar, Indra Nagar, Kutti Wadi, Anna Nagar, Sheth Wadi, Muslim Nagar, Shammi Nagar, Akg Nagar, Nawab Nagar, Madina Nagar,60"
"GN 111 400017 Transist Camp, Rajiv Gandhi, Vijay Nagar, Dharavi Police Station, Dhobi Ghat, Social Nagar,90 Feet Road,Dharavi Transist Camp,Dharavi",GN,111,400017,"Transist Camp, Rajiv Gandhi, Vijay Nagar, Dharavi Police Station, Dhobi Ghat, Social Nagar,90 Feet Road,Dharavi Transist Camp,Dharavi"
"GN 112 400017 Rajiv Gandhi Nagar, Pila Bunglow, Rajiv Gandhi Sports Complex,,Rajiv Gandhi Nagar,Dharavi",GN,112,400017,"Rajiv Gandhi Nagar, Pila Bunglow, Rajiv Gandhi Sports Complex,,Rajiv Gandhi Nagar,Dharavi"
"GN 113 400017 Matunga Labour Camp, Kamla Nehru Nagar,,Matunga Labour Camp,Dharavi",GN,113,400017,"Matunga Labour Camp, Kamla Nehru Nagar,,Matunga Labour Camp,Dharavi"
"GN 114 400017 Azad Nagar, New Kamla Nagar, Old Kamla Nagar, Lala Compound,60 Feet Road & Jasmin Mill Road,Jasmin Mill Road,Dharavi",GN,114,400017,"Azad Nagar, New Kamla Nagar, Old Kamla Nagar, Lala Compound,60 Feet Road & Jasmin Mill Road,Jasmin Mill Road,Dharavi"
"GN 115 400017 Kala Killa, Sagram Nagar, Sangam Gully, St. Rohidas Marg, Parsi Chawl, Ashok Mill Compound, Naik Nagar,Shatabdi Nagar, Thevar Nagar, Sion Bandra Link Road,",GN,115,400017,"Kala Killa, Sagram Nagar, Sangam Gully, St. Rohidas Marg, Parsi Chawl, Ashok Mill Compound, Naik Nagar,Shatabdi Nagar, Thevar Nagar, Sion Bandra Link Road,"
"GN 116 400017 Chamada Bazar,Dhorwada,Bagicha Compound,Bhar ya Chawl,Rajiv Gandhi Chawl,Maharana Pratap Nagar,Zakhir Hussain Chawl, Latur Galli,,Chamada Bazar,Dharavi",GN,116,400017,"Chamada Bazar,Dhorwada,Bagicha Compound,Bhar ya Chawl,Rajiv Gandhi Chawl,Maharana Pratap Nagar,Zakhir Hussain Chawl, Latur Galli,,Chamada Bazar,Dharavi"
"GN 117 400017 Shastri Nagar,Indira Qureshi Nagar,Ganesh Chawl, Ujala Chawl, Laxmi Chawl,,Shashtri Nagar,Dharavi",GN,117,400017,"Shastri Nagar,Indira Qureshi Nagar,Ganesh Chawl, Ujala Chawl, Laxmi Chawl,,Shashtri Nagar,Dharavi"
"GN 118 400017 Dagdi Chawl, Sant Kakaya Marg, Bashemar Nagar, Dharavi Cross Road, Dharavi Main Road,,Sant Kakaya Marg,Dharavi",GN,118,400017,"Dagdi Chawl, Sant Kakaya Marg, Bashemar Nagar, Dharavi Cross Road, Dharavi Main Road,,Sant Kakaya Marg,Dharavi"
"GN 119 400028 Kasarwadi Municipal Chawl,,Kasarwadi,Dadar West",GN,119,400028,"Kasarwadi Municipal Chawl,,Kasarwadi,Dadar West"
"GS 120 400013 Bdd N.M Joshi Marg,J.R Boricha Marg,,Lower Parel",GS,120,400013,"Bdd N.M Joshi Marg,J.R Boricha Marg,,Lower Parel"
"GS 121 400013 Kamgar Nagar,N.M. Joshi Marg,,Lower Parel",GS,121,400013,"Kamgar Nagar,N.M. Joshi Marg,,Lower Parel"
"GS 122 400013 Khimji Nagji,S.B Road,,Lower Parel",GS,122,400013,"Khimji Nagji,S.B Road,,Lower Parel"
"GS 123 400013 Ambedkar Sadan,Curry Road,,Curry Road",GS,123,400013,"Ambedkar Sadan,Curry Road,,Curry Road"
"GS 124 400018 Worli Bdd Chawl,G.M Bhosale Marg,,Worli",GS,124,400018,"Worli Bdd Chawl,G.M Bhosale Marg,,Worli"
"GS 125 400018 V.P Nagar,Dr.Annie Besant Road,,Worli",GS,125,400018,"V.P Nagar,Dr.Annie Besant Road,,Worli"
"GS 126 400018 Siddharath Nagar,Dr. Annie Besant Road,,Worli",GS,126,400018,"Siddharath Nagar,Dr. Annie Besant Road,,Worli"
"GS 127 400018 Mariamma Nagar,Dr. Annie Besant Road,,Worli",GS,127,400018,"Mariamma Nagar,Dr. Annie Besant Road,,Worli"
"GS 128 400018 Motillal Nehru Nagar, Markandeshwar Nagar & Madraswadi,Dr. A. B Road,Madraswadi,Worli",GS,128,400018,"Motillal Nehru Nagar, Markandeshwar Nagar & Madraswadi,Dr. A. B Road,Madraswadi,Worli"
"GS 129 400018 Worli Police Camp,Sir Pochkanwala Road,,Worli",GS,129,400018,"Worli Police Camp,Sir Pochkanwala Road,,Worli"
"GS 130 400030 Worli Koliwada, And Janata Colony,Golphadevi Road & Hatiskar Marg,Worli Koliwada,Worli",GS,130,400030,"Worli Koliwada, And Janata Colony,Golphadevi Road & Hatiskar Marg,Worli Koliwada,Worli"
"HE 131 400051 Amrut Nagar, Government Colony, Razak Chawl,Bhinde Shop, Murlidhar Chawl, Shanti Bhavan Chs,Amrut Nagar,,Kherwadi,Bandra (E)",HE,131,400051,"Amrut Nagar, Government Colony, Razak Chawl,Bhinde Shop, Murlidhar Chawl, Shanti Bhavan Chs,Amrut Nagar,,Kherwadi,Bandra (E)"
